row_index,task_id,instructions,operands,blocks,control_edges,dataflow_edges,current_graph_chars,current_graph_cl100k_proxy_tokens,compact_positions_flat,compact_positions_pooled,flat_reduction_vs_proxy,pooled_reduction_vs_proxy
395,sigless_f17b4d628f1b,3570,6021,705,991,6604,652512,194632,10297,4276,18.902,45.517
369,sigless_1bba4dc0b268,2862,4951,505,740,2064,339932,105284,8319,3368,12.656,31.26
378,sigless_36c354c2e279,2458,4281,396,583,1010,244207,77967,7136,2855,10.926,27.309
261,sigless_452c11877e17,2089,3578,386,539,1449,249338,77596,6054,2476,12.817,31.339
363,sigless_f221251b6b7f,2065,3633,398,586,1119,238037,74028,6097,2464,12.142,30.044
339,sigless_a7bf17dd7855,1879,3256,355,527,493,188170,59653,5491,2235,10.864,26.69
63,sigless_e81ac4c1ff2c,1854,3228,311,451,598,178427,57248,5394,2166,10.613,26.43
400,sigless_e4c9064bfc27,1891,3339,300,454,446,172140,55551,5531,2192,10.044,25.343
374,sigless_57ebb9eb364c,1844,3286,274,396,435,157857,51398,5405,2119,9.509,24.256
347,sigless_ec367ca40900,1341,2348,273,392,603,149454,47324,3963,1615,11.941,29.303
375,sigless_1b08e4b5b590,740,1235,239,353,1420,162863,47017,2215,980,21.227,47.977
377,sigless_b78f065b5f17,1362,2344,254,367,584,146150,45869,3961,1617,11.58,28.367
602,sigless_7a419ff2ac73,1315,2315,275,399,488,144049,44894,3906,1591,11.494,28.217
364,sigless_7f1aeee4e097,1322,2315,248,358,538,139491,44053,3886,1571,11.336,28.041
149,sigless_a0f853c85702,1169,2053,281,416,546,144717,43900,3504,1451,12.529,30.255
398,sigless_e9699c095415,1631,2944,188,266,445,128580,43510,4764,1820,9.133,23.907
333,sigless_765377c5baac,1091,1899,245,352,731,138964,42257,3236,1337,13.058,31.606
346,sigless_f09d9557f98c,1265,2233,224,317,543,129955,41376,3723,1490,11.114,27.769
58,sigless_e18cfe2df675,1220,2147,224,328,509,128100,40269,3592,1445,11.211,27.868
59,sigless_96d9c81edafe,1308,2305,212,312,422,124391,39930,3826,1521,10.436,26.252
263,sigless_2f67f22e192a,1402,2531,192,280,278,115313,38571,4126,1595,9.348,24.182
604,sigless_277ef06ee879,980,1475,235,344,678,125850,37293,2691,1216,13.858,30.669
362,sigless_b2452397d7d0,1135,1984,199,281,513,116880,37048,3319,1335,11.162,27.751
376,sigless_fad549403ea6,1189,2101,152,200,726,113978,36879,3443,1342,10.711,27.481
389,sigless_f3a6984bc886,1403,2430,174,230,446,111282,36871,4008,1578,9.199,23.366
397,sigless_112a67159d52,1328,2376,174,258,250,106964,36469,3879,1503,9.402,24.264
172,sigless_e8b5f7e7d1a6,999,1733,201,291,448,111127,34785,2934,1201,11.856,28.963
385,sigless_262495f5da02,1220,2194,177,260,248,103715,34770,3592,1398,9.68,24.871
381,sigless_4c1aaefe00e2,1231,2175,178,255,352,105892,34598,3585,1410,9.651,24.538
